"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15523","893212403","108","412477290","412475983","235.5444700278193","-1",,,"1.4","LINESTRING(126.6063819 45.7609168, 126.6053754 45.7596183)"
"15524","893212403","108","412475983","2676836426","172.57775082538762","-1",,,"1.4","LINESTRING(126.6053754 45.7596183, 126.6047885 45.7586172)"
"15525","893212403","108","2676836426","412475984","182.5768947822662","-1",,,"1.4","LINESTRING(126.6047885 45.7586172, 126.6041978 45.7575497)"
"15526","893212403","108","412475984","2476377874","270.721866475627","-1",,,"1.4","LINESTRING(126.6041978 45.7575497, 126.6033686 45.7559546)"
"15527","893212403","108","2476377874","4361621008","15.173376858567451","-1",,,"1.4","LINESTRING(126.6033686 45.7559546, 126.6033187 45.7558661)"
"15528","893212403","108","4361621008","9910232415","334.6739348763852","-1",,,"1.4","LINESTRING(126.6033187 45.7558661, 126.6028303 45.7548884, 126.6026282 45.754616, 126.6019239 45.7540691, 126.6019051 45.7540536)"
"15529","893212403","108","9910232415","4964161473","40.73680390214863","-1",,,"1.4","LINESTRING(126.6019051 45.7540536, 126.6016637 45.7538617)"
"15530","893212404","108","9910240817","412475988","468.5969275203923","-1",,,"1.4","LINESTRING(126.6051005 45.751996, 126.6017836 45.7538045)"
"15531","893212406","104","2476377829","403364660","463.1957138381953","-1",,,"1.1","LINESTRING(126.5878633 45.7390212, 126.591527 45.7376445)"
"15532","893212407","106","403361529","6312677290","139.82651449217107","-1",,,"1.2","LINESTRING(126.5876935 45.739104, 126.5867804 45.738502)"
"15533","893212407","106","6312677290","6312677300","191.2589172924117","-1",,,"1.2","LINESTRING(126.5867804 45.738502, 126.5855092 45.7376953)"
"15534","893212407","106","6312677300","6312677291","188.28601093544137","-1",,,"1.2","LINESTRING(126.5855092 45.7376953, 126.5842591 45.7369001)"
"15535","893212407","106","6312677291","6312677307","207.79455048532796","-1",,,"1.2","LINESTRING(126.5842591 45.7369001, 126.5828796 45.7360224)"
"15536","893212407","106","6312677307","403357889","210.65371608155544","-1",,,"1.2","LINESTRING(126.5828796 45.7360224, 126.581481 45.7351327)"
"15537","893212407","106","403357889","9659767572","16.051469360302782","-1",,,"1.2","LINESTRING(126.581481 45.7351327, 126.5813763 45.7350635)"
"15538","893212407","106","9659767572","9642296868","170.99437861509767","-1",,,"1.2","LINESTRING(126.5813763 45.7350635, 126.5802611 45.7343262)"
"15539","893212407","106","9642296868","6313585199","353.29895387760087","-1",,,"1.2","LINESTRING(126.5802611 45.7343262, 126.5790872 45.73355, 126.57792 45.732831)"
"15540","893212408","106","6313585196","6312677331","337.06275591539145","-1",,,"1.2","LINESTRING(126.5781011 45.7327415, 126.580348 45.7341582)"
"15541","893212408","106","6312677331","9899024370","86.30335378975252","-1",,,"1.2","LINESTRING(126.580348 45.7341582, 126.5809249 45.7345197)"
"15542","893212408","106","9899024370","6313585270","100.52067580266011","-1",,,"1.2","LINESTRING(126.5809249 45.7345197, 126.5815969 45.7349407)"
"15543","893212408","106","6313585270","2468521927","16.887931156479535","-1",,,"1.2","LINESTRING(126.5815969 45.7349407, 126.5817072 45.7350134)"
"15544","893212408","106","2468521927","6312677318","207.43166742539614","-1",,,"1.2","LINESTRING(126.5817072 45.7350134, 126.5830692 45.735901)"
"15545","893212408","106","6312677318","8346279097","393.50643188795965","-1",,,"1.2","LINESTRING(126.5830692 45.735901, 126.585652 45.7375855)"
"15546","893212408","106","8346279097","4929522426","196.62774255920212","-1",,,"1.2","LINESTRING(126.585652 45.7375855, 126.5869479 45.7384232)"
"15547","893212408","106","4929522426","2476377829","139.57589630076214","-1",,,"1.2","LINESTRING(126.5869479 45.7384232, 126.5878633 45.7390212)"
"15548","893212409","104","403361529","2476377829","23.05866623955127","-1",,,"1.1","LINESTRING(126.5876935 45.739104, 126.5878633 45.7390212)"
